node_id,Betweenness Centrality,Eigenvector Centrality,Closeness Centrality,PageRank,Degree,Community
1101,0.0,0.03738436077701158,0.08160539002149039,0.0004061540845941033,2,5
1102,6678.211904761902,1.9429953383382884e-05,0.08475598721119623,0.001168488193172769,5,11
1103,1454.7499999999995,6.174282017523503e-13,0.05160129278683708,0.0006816045255529349,3,21
1104,2.4833333333333334,8.784515601757416e-14,0.047163477677072844,0.0005494523415671659,3,22
1105,0.0,5.9515520112757e-14,0.04715714573404041,0.0004028680258821181,2,22
1106,0.0,1.1266893414379888e-08,0.06935531641820515,0.00044887637304533227,2,18
1107,0.0,5.144822300564368e-11,0.05878169190862689,0.0005087868245044223,2,21
1108,3.0,2.012423593259067e-09,0.0678973565940173,0.0006445968235566863,3,14
1109,1249.576406926406,1.5201323580141222e-08,0.07277530301460686,0.0006735348452404783,3,17
1110,15974.583899923606,6.001766983783911e-15,0.04710497200523016,0.0005709116137869533,2,20
1111,397.9605610646983,0.026962057221019752,0.09305252003443937,0.00041438151322473296,2,12
1112,0.0,3.3257862519185004e-05,0.05910314655897695,0.00045477155972187104,2,2
1113,0.0,3.568915570041632e-05,0.06233916052888455,0.000506862161569174,2,0
1114,0.0,0.00022388951998364768,0.0664931377188831,0.0004196330174438727,2,0
1115,2090.0,0.00949855664643078,0.0827005709576785,0.0006413817792584994,3,6
1116,0.0,0.005570831819109642,0.08527555231852392,0.0002763706475291513,1,12
1117,21847.8826322611,0.26079938231828403,0.09432062298603652,0.0021941519373648373,13,10
1118,2619.5297138531623,0.0003497909768880771,0.06670464796087927,0.000540598061793049,3,0
1119,11.194190368970377,0.0002810404451732535,0.06626108281456329,0.00039416179700872255,2,0
1120,84.63760160969342,0.0004217369423054467,0.06987963791902914,0.0004188701069962214,2,0
1121,0.5,3.48476826559047e-05,0.06234469293574725,0.0005267627253405885,2,0
1122,652.533333333334,1.5349967989188897e-12,0.05410088563727378,0.00046318691902420795,2,21
1123,2441.959523809524,5.282452069853802e-06,0.08320502191164278,0.0004808929348423783,2,8
1124,2806.0000000000005,3.1311012199503407e-13,0.05182398288517576,0.0007115570162487229,3,22
1125,2614.653956003604,5.548040249409884e-10,0.06241670368725011,0.001621694364131907,9,14
1126,0.0,2.6392648925482814e-13,0.05155206575181625,0.0004508283525553283,2,21
1127,0.0,1.2037658789562032e-08,0.06936216429699842,0.0004129542840960172,2,18
1128,697.4666666666667,0.003280765650433848,0.0862016074605804,0.0006215502524012978,3,12
1129,4206.0,0.001870739974342252,0.07399799863064202,0.0005749796284474092,2,6
1130,0.5,2.7395352679037536e-07,0.07299080471712817,0.0004915765590527676,2,8
1131,226772.6196031656,2.2316699848652108e-09,0.06650887573964497,0.0048113095484156815,26,14
1132,490.0623487623539,1.5930740004448023e-08,0.06846311275704123,0.0008022206830334604,4,18
1133,1392.8532467532464,4.000443945639257e-13,0.05182398288517576,0.0005973410543502857,3,22
1134,5861.318500850753,6.252406673936928e-13,0.05188330871491876,0.0011784895618101926,7,22
1135,2.1,1.5165637279388137e-13,0.04936233004251133,0.0005518842317605349,3,22
1136,584.3227298064247,2.618355677193761e-07,0.07812934438080409,0.00048334874391059825,2,15
1137,26.93333333333333,1.2675781318193557e-13,0.04909497519043959,0.0004770497581934757,2,21
1138,0.0,5.654147703109004e-13,0.05158424202371774,0.0004061171835552037,2,21
1139,15.508433070197777,5.654635591695714e-09,0.06913009250147609,0.0004477137680409784,2,17
1140,273.3044011544024,1.0206944160551777e-05,0.08300838946000236,0.000739765634461247,4,15
1141,532.3863642076893,5.239557519066331e-10,0.06241115849324805,0.0008925929967037635,5,14
1142,4349.294200244197,7.816150388282427e-06,0.08371566466066853,0.00047455938415315595,2,11
1143,0.0,0.0005774641842012327,0.08067294441892513,0.0003972883492799384,2,9
1144,1.0,1.810152457261292e-05,0.07024297570242975,0.0005629474469409279,2,9
1145,701.5,1.3620182006438213e-07,0.07623440043407488,0.0004935205516654795,2,13
1146,213.97499999999997,1.2642801609028437e-06,0.08245789072128647,0.0004878152785808841,2,15
1147,1077.7428571428607,1.2205637118539066e-06,0.07872471563848266,0.0008448766664984753,4,8
1148,3.4583333333333335,1.3621675212867548e-06,0.076830535352983,0.00045893043499051645,2,8
1149,697.1111111111109,0.0009225237937432546,0.08642962598425197,0.00044107667800329683,2,7
1150,0.0,0.00024313744953723932,0.07962144395330387,0.00046514441199549405,2,7
1151,3202.9705983043973,0.01589149769273646,0.09925120090421023,0.0011367902855790786,7,7
1152,701.5,9.7252420674285e-06,0.05937288708586883,0.0005387784945539987,2,3
1153,624.3855158730167,0.002382056461575878,0.08744631854110911,0.00041294402334183606,2,7
1154,0.0,6.1684792245603e-05,0.06308652507745499,0.0002701293899227044,1,3
1155,0.0,1.5784720871297927e-05,0.059453283683141504,0.0004702647334745397,2,3
1156,653.3871022768166,0.0029119511416230014,0.08622805940837118,0.0005961917501072977,3,12
1157,1395.9761904761906,8.427033997705037e-05,0.0631971932349766,0.0006427568630856873,3,3
1158,766.7499999999998,1.4093008445793419e-05,0.05974147461518837,0.0006540052208806347,3,3
1159,0.0,0.0013087228905687446,0.07437797776601376,0.0004212994990065965,2,2
1160,0.0,1.73430199873379e-05,0.07484551459620711,0.00043699625819924816,2,11
1161,198.91862745098035,1.5785557897097347e-05,0.0748335552596538,0.00044710445771911503,2,11
1162,0.0,1.05458707311759e-05,0.07899471494433824,0.0005012159738030993,2,11
1163,0.0,0.00013602282787226135,0.081059251139445,0.00041484965701524935,2,11
1164,0.0,2.6466077041730643e-06,0.0781380345920694,0.0003049392760129432,1,11
1165,0.8333333333333333,1.8588214758104627e-06,0.08243853781611218,0.0004761909843666824,2,15
1166,24973.577035065966,4.2415515184305006e-05,0.09112725385912569,0.0008655800475807341,4,8
1167,3.5,8.898116126111825e-07,0.07685154797068154,0.0005073858957530212,2,8
1168,1942.3187590187588,5.669242752043437e-07,0.07851355127130484,0.0005566720750626263,2,13
1169,56.74326648297235,1.694111129756756e-05,0.08437931655756412,0.0004615513472765469,2,8
1170,320.79503888816805,0.00023764681145194312,0.0771978021978022,0.0004685970435347638,2,7
1171,2070.8002476991624,2.9593860804975445e-06,0.08081679608858211,0.000960310985721416,5,15
1172,0.0,5.16954268411725e-06,0.08317546767700687,0.0002759163913137467,1,8
1173,1147.9571428571371,3.4849601712662204e-07,0.0764792335746557,0.0007684597746814483,3,8
1174,2683.891238745049,0.04292596646613036,0.08349179938198241,0.0008544585756070559,4,5
1175,6965.262877646623,0.20474455624726529,0.08883970913689536,0.0013740643210490317,8,5
1176,12272.159965198069,3.262566293451027e-10,0.062447219876438954,0.0008764994866675282,4,21
1177,130.31060606060606,5.690720822608084e-13,0.05182589450387311,0.0008072738343911439,4,22
1178,0.6666666666666666,3.872068507214243e-14,0.049023028611304954,0.00048364717797606577,2,21
1179,1447.4333333333334,8.356308301717727e-12,0.05651649235720032,0.00049905690028885,2,21
1180,11.164740593585728,2.342278158336928e-13,0.04941441283016214,0.0005470795282437589,3,22
1181,1.3965637130929485,2.2072121990240975e-13,0.04941441283016214,0.000550175798670632,3,22
1182,1161.2418702407203,2.4299893861105766e-08,0.06941356652339312,0.0011069548737859777,6,18
1183,7918.580125675004,8.270555085705656e-05,0.08642430952820324,0.00041497657582041723,2,11
1184,7413.725737048699,0.0017768261162035028,0.07411510260062246,0.0009083507702706388,5,0
1185,2.3500000000000005,0.12297339331141892,0.08770287141073659,0.0006471712984642309,4,5
1186,5.988492063492064,0.00894506828899598,0.07669632621868006,0.0003938220560732659,2,1
1187,797.6187423687351,0.009298377690107523,0.09387946010958172,0.0005566815506734355,3,12
1188,452.12332112332115,0.07017828474709328,0.08348683819597125,0.0007363391515087281,4,5
1189,1382.1841269841334,0.00010011658021429954,0.06406456613925493,0.00068935025673313,3,1
1190,369.86399397704156,7.520895985905502e-08,0.07256856567326068,0.0008458782395421581,4,15
1191,319.2722222222252,0.05363831311077947,0.09100330332275407,0.0005724837028572361,3,10
1192,866.7748556998796,3.4911733648272374e-06,0.08461306835290575,0.0010033753631273228,5,15
1193,2.6166666666666667,0.02925118181386906,0.07709613696224758,0.0005889186816230383,3,5
1194,16.785714285714285,0.018718546201551868,0.08355137963843959,0.0006406941396827524,3,10
1195,58243.96171443478,4.6626054405312884e-09,0.0725573228671762,0.0006924963573508502,3,13
1196,0.0,1.076643836951959e-08,0.06945817678465493,0.00027990880909541745,1,13
1197,7.842058617515007,0.00017169117821452774,0.06541577428065928,0.00043645333644129074,2,0
1198,145.18390898317332,0.0001243669999512439,0.06293674968643612,0.000559260750272674,3,0
1199,2.5595238095238098,1.3922252135419947e-05,0.05946586532357049,0.0004733255632333083,2,3
1200,0.0,4.9380255683459936e-14,0.04927404082205233,0.0005354853990323454,2,22
1201,3.107395382395383,2.0070136833464256e-10,0.06166337502743033,0.00041259843672508494,2,14
1202,702.0000000000002,2.083803645174905e-10,0.06358616944243302,0.0005871809753271493,2,14
